Datum,Type,Aantal
2020-02-27,Totaal,5.0
2020-02-27,Ziekenhuisopname,
2020-02-27,Overleden,0.0
2020-02-28,Totaal,4.0
2020-02-28,Ziekenhuisopname,
2020-02-28,Overleden,0.0
2020-02-29,Totaal,14.0
2020-02-29,Ziekenhuisopname,
2020-02-29,Overleden,0.0
2020-03-01,Totaal,13.0
2020-03-01,Ziekenhuisopname,
2020-03-01,Overleden,0.0
2020-03-02,Totaal,47.0
2020-03-02,Ziekenhuisopname,
2020-03-02,Overleden,0.0
2020-03-03,Totaal,41.0
2020-03-03,Ziekenhuisopname,
2020-03-03,Overleden,0.0
2020-03-04,Totaal,44.0
2020-03-04,Ziekenhuisopname,
2020-03-04,Overleden,0.0
2020-03-05,Totaal,41.0
2020-03-05,Ziekenhuisopname,
2020-03-05,Overleden,0.0
2020-03-06,Totaal,32.0
2020-03-06,Ziekenhuisopname,
2020-03-06,Overleden,1.0
2020-03-07,Totaal,45.0
2020-03-07,Ziekenhuisopname,
2020-03-07,Overleden,1.0
2020-03-08,Totaal,72.0
2020-03-08,Ziekenhuisopname,
2020-03-08,Overleden,2.0
2020-03-09,Totaal,78.0
2020-03-09,Ziekenhuisopname,
2020-03-09,Overleden,0.0
2020-03-10,Totaal,137.0
2020-03-10,Ziekenhuisopname,
2020-03-10,Overleden,1.0
2020-03-11,Totaal,168.0
2020-03-11,Ziekenhuisopname,
2020-03-11,Overleden,2.0
2020-03-12,Totaal,186.0
2020-03-12,Ziekenhuisopname,
2020-03-12,Overleden,3.0
2020-03-13,Totaal,222.0
2020-03-13,Ziekenhuisopname,
2020-03-13,Overleden,6.0
2020-03-14,Totaal,221.0
2020-03-14,Ziekenhuisopname,
2020-03-14,Overleden,10.0
2020-03-15,Totaal,234.0
2020-03-15,Ziekenhuisopname,
2020-03-15,Overleden,14.0
2020-03-16,Totaal,271.0
2020-03-16,Ziekenhuisopname,
2020-03-16,Overleden,24.0
2020-03-17,Totaal,370.0
2020-03-17,Ziekenhuisopname,
2020-03-17,Overleden,23.0
2020-03-18,Totaal,458.0
2020-03-18,Ziekenhuisopname,
2020-03-18,Overleden,19.0
2020-03-19,Totaal,515.0
2020-03-19,Ziekenhuisopname,
2020-03-19,Overleden,45.0
2020-03-20,Totaal,696.0
2020-03-20,Ziekenhuisopname,
2020-03-20,Overleden,56.0
2020-03-21,Totaal,668.0
2020-03-21,Ziekenhuisopname,
2020-03-21,Overleden,65.0
2020-03-22,Totaal,540.0
2020-03-22,Ziekenhuisopname,
2020-03-22,Overleden,63.0
2020-03-23,Totaal,619.0
2020-03-23,Ziekenhuisopname,
2020-03-23,Overleden,87.0
2020-03-24,Totaal,1120.0
2020-03-24,Ziekenhuisopname,
2020-03-24,Overleden,77.0
2020-03-25,Totaal,1049.0
2020-03-25,Ziekenhuisopname,
2020-03-25,Overleden,115.0
2020-03-26,Totaal,1051.0
2020-03-26,Ziekenhuisopname,
2020-03-26,Overleden,126.0
2020-03-27,Totaal,1178.0
2020-03-27,Ziekenhuisopname,
2020-03-27,Overleden,116.0
2020-03-28,Totaal,985.0
2020-03-28,Ziekenhuisopname,
2020-03-28,Overleden,153.0
2020-03-29,Totaal,746.0
2020-03-29,Ziekenhuisopname,
2020-03-29,Overleden,123.0
2020-03-30,Totaal,806.0
2020-03-30,Ziekenhuisopname,
2020-03-30,Overleden,154.0
2020-03-31,Totaal,1124.0
2020-03-31,Ziekenhuisopname,
2020-03-31,Overleden,175.0
2020-04-01,Totaal,1042.0
2020-04-01,Ziekenhuisopname,
2020-04-01,Overleden,164.0
2020-04-02,Totaal,1028.0
2020-04-02,Ziekenhuisopname,
2020-04-02,Overleden,178.0
2020-04-03,Totaal,1222.0
2020-04-03,Ziekenhuisopname,
2020-04-03,Overleden,175.0
2020-04-04,Totaal,1096.0
2020-04-04,Ziekenhuisopname,
2020-04-04,Overleden,175.0
2020-04-05,Totaal,858.0
2020-04-05,Ziekenhuisopname,
2020-04-05,Overleden,164.0
2020-04-06,Totaal,772.0
2020-04-06,Ziekenhuisopname,
2020-04-06,Overleden,169.0
2020-04-07,Totaal,1088.0
2020-04-07,Ziekenhuisopname,
2020-04-07,Overleden,156.0
2020-04-08,Totaal,1346.0
2020-04-08,Ziekenhuisopname,
2020-04-08,Overleden,150.0
2020-04-09,Totaal,1315.0
2020-04-09,Ziekenhuisopname,
2020-04-09,Overleden,119.0
2020-04-10,Totaal,1394.0
2020-04-10,Ziekenhuisopname,
2020-04-10,Overleden,158.0
2020-04-11,Totaal,1054.0
2020-04-11,Ziekenhuisopname,
2020-04-11,Overleden,143.0
2020-04-12,Totaal,823.0
2020-04-12,Ziekenhuisopname,
2020-04-12,Overleden,144.0
2020-04-13,Totaal,756.0
2020-04-13,Ziekenhuisopname,
2020-04-13,Overleden,130.0
2020-04-14,Totaal,816.0
2020-04-14,Ziekenhuisopname,
2020-04-14,Overleden,133.0
2020-04-15,Totaal,1114.0
2020-04-15,Ziekenhuisopname,
2020-04-15,Overleden,124.0
2020-04-16,Totaal,1169.0
2020-04-16,Ziekenhuisopname,
2020-04-16,Overleden,137.0
2020-04-17,Totaal,1276.0
2020-04-17,Ziekenhuisopname,
2020-04-17,Overleden,129.0
2020-04-18,Totaal,994.0
2020-04-18,Ziekenhuisopname,
2020-04-18,Overleden,118.0
2020-04-19,Totaal,623.0
2020-04-19,Ziekenhuisopname,
2020-04-19,Overleden,114.0
2020-04-20,Totaal,585.0
2020-04-20,Ziekenhuisopname,
2020-04-20,Overleden,96.0
2020-04-21,Totaal,712.0
2020-04-21,Ziekenhuisopname,
2020-04-21,Overleden,131.0
2020-04-22,Totaal,971.0
2020-04-22,Ziekenhuisopname,
2020-04-22,Overleden,119.0
2020-04-23,Totaal,796.0
2020-04-23,Ziekenhuisopname,
2020-04-23,Overleden,106.0
2020-04-24,Totaal,660.0
2020-04-24,Ziekenhuisopname,
2020-04-24,Overleden,93.0
2020-04-25,Totaal,576.0
2020-04-25,Ziekenhuisopname,
2020-04-25,Overleden,81.0
2020-04-26,Totaal,379.0
2020-04-26,Ziekenhuisopname,
2020-04-26,Overleden,78.0
2020-04-27,Totaal,177.0
2020-04-27,Ziekenhuisopname,
2020-04-27,Overleden,75.0
2020-04-28,Totaal,393.0
2020-04-28,Ziekenhuisopname,
2020-04-28,Overleden,72.0
2020-04-29,Totaal,459.0
2020-04-29,Ziekenhuisopname,
2020-04-29,Overleden,59.0
2020-04-30,Totaal,507.0
2020-04-30,Ziekenhuisopname,
2020-04-30,Overleden,66.0
2020-05-01,Totaal,492.0
2020-05-01,Ziekenhuisopname,
2020-05-01,Overleden,54.0
2020-05-02,Totaal,312.0
2020-05-02,Ziekenhuisopname,
2020-05-02,Overleden,55.0
2020-05-03,Totaal,175.0
2020-05-03,Ziekenhuisopname,
2020-05-03,Overleden,45.0
2020-05-04,Totaal,285.0
2020-05-04,Ziekenhuisopname,
2020-05-04,Overleden,58.0
2020-05-05,Totaal,251.0
2020-05-05,Ziekenhuisopname,
2020-05-05,Overleden,35.0
2020-05-06,Totaal,302.0
2020-05-06,Ziekenhuisopname,
