"GGD-meldingsdatum";"nieuw";"t/m afgelopen week"
"27 feb";0;3
"28 feb";0;4
"29 feb";0;13
"1 mrt";0;13
"2 mrt";0;47
"3 mrt";0;40
"4 mrt";0;41
"5 mrt";0;41
"6 mrt";0;32
"7 mrt";0;45
"8 mrt";0;72
"9 mrt";0;78
"10 mrt";0;137
"11 mrt";0;168
"12 mrt";0;186
"13 mrt";0;222
"14 mrt";0;222
"15 mrt";0;234
"16 mrt";0;271
"17 mrt";0;371
"18 mrt";0;459
"19 mrt";0;515
"20 mrt";0;696
"21 mrt";0;668
"22 mrt";0;540
"23 mrt";0;619
"24 mrt";0;1122
"25 mrt";0;1049
"26 mrt";0;1051
"27 mrt";0;1177
"28 mrt";0;985
"29 mrt";0;747
"30 mrt";0;806
"31 mrt";0;1124
"1 apr";0;1043
"2 apr";0;1029
"3 apr";0;1223
"4 apr";0;1097
"5 apr";0;858
"6 apr";0;773
"7 apr";0;1089
"8 apr";0;1344
"9 apr";0;1314
"10 apr";0;1395
"11 apr";0;1055
"12 apr";0;824
"13 apr";0;756
"14 apr";0;816
"15 apr";0;1114
"16 apr";0;1168
"17 apr";0;1277
"18 apr";0;994
"19 apr";0;623
"20 apr";0;586
"21 apr";0;712
"22 apr";0;972
"23 apr";0;796
"24 apr";0;662
"25 apr";0;574
"26 apr";0;379
"27 apr";0;175
"28 apr";0;393
"29 apr";0;459
"30 apr";0;505
"1 mei";1;492
"2 mei";0;312
"3 mei";0;175
"4 mei";0;285
"5 mei";0;249
"6 mei";0;300
"7 mei";0;298
"8 mei";0;327
"9 mei";1;251
"10 mei";0;153
"11 mei";0;168
"12 mei";0;218
"13 mei";0;296
"14 mei";0;185
"15 mei";0;210
"16 mei";0;158
"17 mei";0;109
"18 mei";0;103
"19 mei";0;180
"20 mei";0;294
"21 mei";0;194
"22 mei";0;195
"23 mei";0;204
"24 mei";0;150
"25 mei";0;124
"26 mei";0;173
"27 mei";1;190
"28 mei";0;208
"29 mei";0;164
"30 mei";0;170
"31 mei";0;97
"1 jun";0;99
"2 jun";0;122
"3 jun";0;187
"4 jun";0;263
"5 jun";0;222
"6 jun";0;187
"7 jun";0;134
"8 jun";0;156
"9 jun";0;142
"10 jun";0;182
"11 jun";0;206
"12 jun";0;195
"13 jun";0;132
"14 jun";0;147
"15 jun";0;131
"16 jun";0;118
"17 jun";2;136
"18 jun";0;84
"19 jun";0;102
"20 jun";0;98
"21 jun";0;57
"22 jun";0;71
"23 jun";0;76
"24 jun";1;111
"25 jun";0;82
"26 jun";0;69
"27 jun";1;80
"28 jun";0;68
"29 jun";0;49
"30 jun";0;58
"1 jul";0;74
"2 jul";0;75
"3 jul";0;59
"4 jul";0;79
"5 jul";1;42
"6 jul";0;41
"7 jul";0;49
"8 jul";0;56
"9 jul";0;61
"10 jul";2;95
"11 jul";2;72
"12 jul";2;85
"13 jul";17;86
"14 jul";77;13
"15 jul";143;0
"16 jul";126;0
"17 jul";156;0
"18 jul";128;0
"19 jul";149;0
"20 jul";137;0
"21 jul";40;0
