"GGD-meldingsdatum";"nieuw";"tot en met gisteren"
"27 feb";0;3
"28 feb";0;4
"29 feb";0;12
"1 mrt";0;13
"2 mrt";0;47
"3 mrt";0;40
"4 mrt";0;41
"5 mrt";0;41
"6 mrt";0;33
"7 mrt";0;45
"8 mrt";0;72
"9 mrt";0;76
"10 mrt";0;137
"11 mrt";0;170
"12 mrt";0;183
"13 mrt";2;217
"14 mrt";0;222
"15 mrt";0;233
"16 mrt";0;272
"17 mrt";1;374
"18 mrt";0;460
"19 mrt";0;515
"20 mrt";0;704
"21 mrt";0;668
"22 mrt";0;542
"23 mrt";0;622
"24 mrt";0;1131
"25 mrt";0;1055
"26 mrt";0;1053
"27 mrt";0;1192
"28 mrt";1;989
"29 mrt";0;748
"30 mrt";1;802
"31 mrt";0;1126
"1 apr";0;1040
"2 apr";0;1024
"3 apr";0;1225
"4 apr";1;1094
"5 apr";1;847
"6 apr";16;740
"7 apr";35;977
"8 apr";326;913
"9 apr";898;48
"10 apr";65;0
