"Datum van overlijden";"nieuw";"t/m afgelopen week"
"27 feb 2020";0;0
"28 feb 2020";0;0
"29 feb 2020";0;0
"1 mrt 2020";0;0
"2 mrt 2020";0;0
"3 mrt 2020";0;0
"4 mrt 2020";0;0
"5 mrt 2020";0;0
"6 mrt 2020";0;1
"7 mrt 2020";0;1
"8 mrt 2020";0;2
"9 mrt 2020";0;0
"10 mrt 2020";0;1
"11 mrt 2020";0;2
"12 mrt 2020";0;3
"13 mrt 2020";0;6
"14 mrt 2020";0;10
"15 mrt 2020";0;14
"16 mrt 2020";0;24
"17 mrt 2020";0;23
"18 mrt 2020";0;19
"19 mrt 2020";0;45
"20 mrt 2020";0;56
"21 mrt 2020";0;65
"22 mrt 2020";0;63
"23 mrt 2020";0;87
"24 mrt 2020";0;77
"25 mrt 2020";0;115
"26 mrt 2020";0;126
"27 mrt 2020";0;116
"28 mrt 2020";0;153
"29 mrt 2020";0;123
"30 mrt 2020";0;154
"31 mrt 2020";0;175
"1 apr 2020";0;164
"2 apr 2020";0;178
"3 apr 2020";0;175
"4 apr 2020";0;175
"5 apr 2020";0;164
"6 apr 2020";0;169
"7 apr 2020";0;156
"8 apr 2020";0;150
"9 apr 2020";0;119
"10 apr 2020";0;158
"11 apr 2020";0;143
"12 apr 2020";0;144
"13 apr 2020";0;130
"14 apr 2020";0;133
"15 apr 2020";0;124
"16 apr 2020";0;137
"17 apr 2020";0;129
"18 apr 2020";0;118
"19 apr 2020";0;114
"20 apr 2020";0;96
"21 apr 2020";0;131
"22 apr 2020";0;119
"23 apr 2020";0;106
"24 apr 2020";0;93
"25 apr 2020";0;81
"26 apr 2020";0;78
"27 apr 2020";0;75
"28 apr 2020";0;72
"29 apr 2020";0;59
"30 apr 2020";0;66
"1 mei 2020";0;54
"2 mei 2020";0;55
"3 mei 2020";0;45
"4 mei 2020";0;58
"5 mei 2020";0;35
"6 mei 2020";0;53
"7 mei 2020";0;44
"8 mei 2020";0;40
"9 mei 2020";0;39
"10 mei 2020";0;25
"11 mei 2020";0;34
"12 mei 2020";0;34
"13 mei 2020";0;26
"14 mei 2020";0;23
"15 mei 2020";0;23
"16 mei 2020";0;19
"17 mei 2020";0;16
"18 mei 2020";0;15
"19 mei 2020";0;21
"20 mei 2020";0;22
"21 mei 2020";0;11
"22 mei 2020";0;20
"23 mei 2020";0;18
"24 mei 2020";0;13
"25 mei 2020";0;15
"26 mei 2020";0;19
"27 mei 2020";0;16
"28 mei 2020";0;5
"29 mei 2020";0;11
"30 mei 2020";0;11
"31 mei 2020";0;14
"1 jun 2020";0;7
"2 jun 2020";0;8
"3 jun 2020";0;6
"4 jun 2020";0;8
"5 jun 2020";0;10
"6 jun 2020";0;8
"7 jun 2020";0;9
"8 jun 2020";0;6
"9 jun 2020";0;5
"10 jun 2020";0;7
"11 jun 2020";0;5
"12 jun 2020";0;7
"13 jun 2020";0;1
"14 jun 2020";0;4
"15 jun 2020";0;5
"16 jun 2020";0;3
"17 jun 2020";0;4
"18 jun 2020";0;5
"19 jun 2020";0;2
"20 jun 2020";0;1
"21 jun 2020";0;5
"22 jun 2020";0;1
"23 jun 2020";0;1
"24 jun 2020";0;3
"25 jun 2020";0;0
"26 jun 2020";0;2
"27 jun 2020";0;3
"28 jun 2020";0;2
"29 jun 2020";0;1
"30 jun 2020";0;2
"1 jul 2020";0;3
"2 jul 2020";0;0
"3 jul 2020";0;3
"4 jul 2020";0;0
"5 jul 2020";0;3
"6 jul 2020";0;0
"7 jul 2020";0;3
"8 jul 2020";0;0
"9 jul 2020";0;0
"10 jul 2020";0;1
"11 jul 2020";0;0
"12 jul 2020";0;2
"13 jul 2020";0;0
"14 jul 2020";0;2
"15 jul 2020";0;3
"16 jul 2020";0;0
"17 jul 2020";0;1
"18 jul 2020";0;0
"19 jul 2020";0;1
"20 jul 2020";0;2
"21 jul 2020";0;0
"22 jul 2020";0;3
"23 jul 2020";0;1
"24 jul 2020";0;0
"25 jul 2020";0;0
"26 jul 2020";0;1
"27 jul 2020";0;4
"28 jul 2020";0;2
"29 jul 2020";0;1
"30 jul 2020";0;1
"31 jul 2020";0;1
"1 aug 2020";0;0
"2 aug 2020";0;0
"3 aug 2020";0;0
"4 aug 2020";0;0
"5 aug 2020";0;2
"6 aug 2020";0;0
"7 aug 2020";0;0
"8 aug 2020";0;1
"9 aug 2020";0;2
"10 aug 2020";0;5
"11 aug 2020";0;3
"12 aug 2020";0;3
"13 aug 2020";0;4
"14 aug 2020";0;4
"15 aug 2020";0;5
"16 aug 2020";0;2
"17 aug 2020";0;5
"18 aug 2020";0;3
"19 aug 2020";0;2
"20 aug 2020";0;7
"21 aug 2020";0;4
"22 aug 2020";0;2
"23 aug 2020";0;4
"24 aug 2020";0;3
"25 aug 2020";0;2
"26 aug 2020";1;5
