"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";0;56
"21 mrt";0;63
"22 mrt";0;61
"23 mrt";0;86
"24 mrt";0;76
"25 mrt";0;113
"26 mrt";0;125
"27 mrt";0;113
"28 mrt";0;153
"29 mrt";0;122
"30 mrt";0;152
"31 mrt";0;175
"1 apr";0;161
"2 apr";0;173
"3 apr";0;172
"4 apr";0;168
"5 apr";0;158
"6 apr";0;165
"7 apr";0;151
"8 apr";2;147
"9 apr";1;117
"10 apr";0;154
"11 apr";0;140
"12 apr";0;144
"13 apr";0;130
"14 apr";0;130
"15 apr";0;119
"16 apr";1;134
"17 apr";0;127
"18 apr";0;117
"19 apr";0;112
"20 apr";0;94
"21 apr";0;123
"22 apr";0;114
"23 apr";0;104
"24 apr";0;91
"25 apr";0;79
"26 apr";0;75
"27 apr";1;71
"28 apr";0;70
"29 apr";0;58
"30 apr";0;65
"1 mei";0;51
"2 mei";0;53
"3 mei";1;39
"4 mei";0;55
"5 mei";0;31
"6 mei";2;50
"7 mei";5;37
"8 mei";1;35
"9 mei";0;33
"10 mei";0;20
"11 mei";0;23
"12 mei";7;16
"13 mei";6;2
"14 mei";1;0
