"GGD-meldingsdatum";"nieuw";"tot en met gisteren"
"27 feb";0;3
"28 feb";0;4
"29 feb";0;12
"1 mrt";0;13
"2 mrt";0;47
"3 mrt";0;40
"4 mrt";0;41
"5 mrt";0;41
"6 mrt";0;32
"7 mrt";0;45
"8 mrt";0;72
"9 mrt";0;76
"10 mrt";0;137
"11 mrt";0;170
"12 mrt";1;183
"13 mrt";0;218
"14 mrt";0;221
"15 mrt";0;233
"16 mrt";0;272
"17 mrt";0;375
"18 mrt";0;459
"19 mrt";0;515
"20 mrt";0;701
"21 mrt";0;668
"22 mrt";0;542
"23 mrt";0;622
"24 mrt";0;1130
"25 mrt";0;1053
"26 mrt";0;1054
"27 mrt";0;1192
"28 mrt";0;990
"29 mrt";0;746
"30 mrt";0;804
"31 mrt";0;1126
"1 apr";0;1040
"2 apr";1;1023
"3 apr";0;1225
"4 apr";0;1096
"5 apr";1;850
"6 apr";1;773
"7 apr";9;1067
"8 apr";25;1296
"9 apr";72;1182
"10 apr";285;986
"11 apr";759;24
"12 apr";34;0
