"GGD-meldingsdatum";"nieuw";"t/m afgelopen week"
"27 feb";0;5
"28 feb";0;4
"29 feb";0;14
"1 mrt";0;13
"2 mrt";0;47
"3 mrt";0;41
"4 mrt";0;44
"5 mrt";0;41
"6 mrt";0;32
"7 mrt";0;45
"8 mrt";0;72
"9 mrt";0;78
"10 mrt";0;137
"11 mrt";0;168
"12 mrt";0;186
"13 mrt";0;222
"14 mrt";0;221
"15 mrt";0;234
"16 mrt";0;271
"17 mrt";0;370
"18 mrt";0;458
"19 mrt";0;515
"20 mrt";0;696
"21 mrt";0;668
"22 mrt";0;540
"23 mrt";0;619
"24 mrt";0;1120
"25 mrt";0;1049
"26 mrt";0;1051
"27 mrt";0;1178
"28 mrt";0;985
"29 mrt";0;746
"30 mrt";0;806
"31 mrt";0;1124
"1 apr";0;1042
"2 apr";0;1028
"3 apr";0;1222
"4 apr";0;1096
"5 apr";0;858
"6 apr";0;772
"7 apr";0;1088
"8 apr";0;1346
"9 apr";0;1315
"10 apr";0;1394
"11 apr";0;1054
"12 apr";0;823
"13 apr";0;756
"14 apr";0;816
"15 apr";0;1114
"16 apr";0;1169
"17 apr";0;1276
"18 apr";0;994
"19 apr";0;623
"20 apr";0;585
"21 apr";0;712
"22 apr";0;971
"23 apr";0;796
"24 apr";0;660
"25 apr";0;576
"26 apr";0;379
"27 apr";0;177
"28 apr";0;393
"29 apr";0;459
"30 apr";0;507
"1 mei";0;492
"2 mei";0;312
"3 mei";0;175
"4 mei";0;285
"5 mei";0;251
"6 mei";0;302
"7 mei";0;298
"8 mei";0;327
"9 mei";0;252
"10 mei";0;152
"11 mei";0;169
"12 mei";0;218
"13 mei";0;295
"14 mei";0;184
"15 mei";0;210
"16 mei";0;156
"17 mei";0;113
"18 mei";0;103
"19 mei";0;180
"20 mei";0;294
"21 mei";0;192
"22 mei";0;196
"23 mei";0;202
"24 mei";0;151
"25 mei";0;126
"26 mei";0;173
"27 mei";0;191
"28 mei";0;206
"29 mei";0;167
"30 mei";0;170
"31 mei";0;99
"1 jun";0;99
"2 jun";0;123
"3 jun";0;185
"4 jun";0;262
"5 jun";0;222
"6 jun";0;186
"7 jun";0;134
"8 jun";0;155
"9 jun";0;142
"10 jun";0;182
"11 jun";0;205
"12 jun";0;195
"13 jun";0;131
"14 jun";0;147
"15 jun";0;129
"16 jun";0;119
"17 jun";0;137
"18 jun";0;83
"19 jun";0;103
"20 jun";0;98
"21 jun";0;57
"22 jun";0;71
"23 jun";0;75
"24 jun";0;113
"25 jun";0;84
"26 jun";0;69
"27 jun";0;81
"28 jun";0;68
"29 jun";0;50
"30 jun";0;58
"1 jul";0;74
"2 jul";0;75
"3 jul";0;59
"4 jul";0;77
"5 jul";0;45
"6 jul";0;41
"7 jul";0;50
"8 jul";0;58
"9 jul";0;62
"10 jul";0;99
"11 jul";0;74
"12 jul";0;88
"13 jul";0;101
