Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners
-1;* Bij 265 personen is de woonplaats niet van bekend;99;;
796;'s-Hertogenbosch;108;155113;69.6
1680;Aa en Hunze;3;25453;11.8
358;Aalsmeer;12;31857;37.7
197;Aalten;3;27117;11.1
59;Achtkarspelen;2;27836;7.2
482;Alblasserdam;6;20165;29.8
613;Albrandswaard;21;25589;82.1
361;Alkmaar;36;109444;32.9
141;Almelo;14;73080;19.2
34;Almere;39;211840;18.4
484;Alphen aan den Rijn;32;111889;28.6
1723;Alphen-Chaam;19;10213;186
1959;Altena;39;55980;69.7
60;Ameland;0;3718;0
307;Amersfoort;59;157279;37.5
362;Amstelveen;52;91691;56.7
363;Amsterdam;411;872779;47.1
200;Apeldoorn;49;163829;29.9
3;Appingedam;1;11644;8.6
202;Arnhem;46;161368;28.5
106;Assen;8;68606;11.7
743;Asten;8;16734;47.8
744;Baarle-Nassau;2;6860;29.2
308;Baarn;5;24873;20.1
489;Barendrecht;21;48713;43.1
203;Barneveld;17;59077;28.8
888;Beek;13;15868;81.9
1954;Beekdaelen;34;35976;94.5
370;Beemster;4;10025;39.9
889;Beesel;11;13483;81.6
1945;Berg en Dal;44;34990;125.8
1724;Bergeijk;13;18638;69.7
893;Bergen (L.);2;13085;15.3
373;Bergen (NH.);16;29844;53.6
748;Bergen op Zoom;15;67489;22.2
1859;Berkelland;2;43748;4.6
1721;Bernheze;87;31247;278.4
753;Best;23;29985;76.7
209;Beuningen;16;25891;61.8
375;Beverwijk;13;41613;31.2
1728;Bladel;15;20395;73.5
376;Blaricum;6;11536;52
377;Bloemendaal;17;23570;72.1
1901;Bodegraven-Reeuwijk;9;34869;25.8
755;Boekel;51;10784;472.9
1681;Borger-Odoorn;1;25558;3.9
147;Borne;13;23313;55.8
654;Borsele;7;22738;30.8
756;Boxmeer;13;29371;44.3
757;Boxtel;22;30803;71.4
758;Breda;215;184271;116.7
501;Brielle;5;17282;28.9
1876;Bronckhorst;8;36052;22.2
213;Brummen;5;20756;24.1
899;Brunssum;24;27817;86.3
312;Bunnik;9;15191;59.2
313;Bunschoten;3;21867;13.7
214;Buren;7;26742;26.2
502;Capelle aan den IJssel;31;67151;46.2
383;Castricum;18;35988;50
109;Coevorden;17;35296;48.2
1706;Cranendonck;42;21166;198.4
1684;Cuijk;8;25139;31.8
216;Culemborg;14;28956;48.3
148;Dalfsen;14;28585;49
1891;Dantumadiel;1;18916;5.3
310;De Bilt;36;43124;83.5
1940;De Fryske Marren;12;51567;23.3
736;De Ronde Venen;17;44457;38.2
1690;De Wolden;3;24327;12.3
503;Delft;27;103659;26
10;Delfzijl;4;24666;16.2
400;Den Helder;9;56305;16
762;Deurne;42;32474;129.3
150;Deventer;33;100718;32.8
384;Diemen;7;30781;22.7
1774;Dinkelland;28;26470;105.8
221;Doesburg;6;11078;54.2
222;Doetinchem;17;58009;29.3
766;Dongen;10;26226;38.1
505;Dordrecht;32;119300;26.8
498;Drechterland;4;19717;20.3
1719;Drimmelen;24;27274;88
303;Dronten;11;41569;26.5
225;Druten;11;18918;58.1
226;Duiven;4;25124;15.9
1711;Echt-Susteren;25;31618;79.1
385;Edam-Volendam;14;36201;38.7
228;Ede;37;117166;31.6
317;Eemnes;1;9247;10.8
770;Eersel;15;19314;77.7
1903;Eijsden-Margraten;32;25753;124.3
772;Eindhoven;113;234456;48.2
230;Elburg;9;23161;38.9
114;Emmen;10;107055;9.3
388;Enkhuizen;17;18592;91.4
153;Enschede;45;159734;28.2
232;Epe;18;33186;54.2
233;Ermelo;18;27005;66.7
777;Etten-Leur;40;43880;91.2
779;Geertruidenberg;11;21538;51.1
1771;Geldrop-Mierlo;20;39733;50.3
1652;Gemert-Bakel;76;30725;247.4
907;Gennep;9;16924;53.2
784;Gilze en Rijen;22;26438;83.2
1924;Goeree-Overflakkee;77;50049;153.8
664;Goes;12;38080;31.5
