Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-06-11,0-4,Vrouw,0,0
2020-06-11,5-9,Vrouw,0,0
2020-06-11,10-14,Vrouw,0,0
2020-06-11,15-19,Vrouw,0,0
2020-06-11,20-24,Vrouw,0,0
2020-06-11,25-29,Vrouw,0,0
2020-06-11,30-34,Vrouw,0,1
2020-06-11,35-39,Vrouw,0,2
2020-06-11,40-44,Vrouw,0,0
2020-06-11,45-49,Vrouw,0,14
2020-06-11,50-54,Vrouw,0,20
2020-06-11,55-59,Vrouw,0,24
2020-06-11,60-64,Vrouw,0,51
2020-06-11,65-69,Vrouw,0,114
2020-06-11,70-74,Vrouw,0,243
2020-06-11,75-79,Vrouw,0,339
2020-06-11,80-84,Vrouw,0,520
2020-06-11,85-89,Vrouw,0,660
2020-06-11,90-94,Vrouw,2,504
2020-06-11,95+,Vrouw,0,225
2020-06-11,0-4,Man,0,0
2020-06-11,5-9,Man,0,0
2020-06-11,10-14,Man,0,0
2020-06-11,15-19,Man,0,1
2020-06-11,20-24,Man,0,0
2020-06-11,25-29,Man,0,3
2020-06-11,30-34,Man,0,3
2020-06-11,35-39,Man,0,5
2020-06-11,40-44,Man,0,5
2020-06-11,45-49,Man,0,9
2020-06-11,50-54,Man,0,27
2020-06-11,55-59,Man,0,75
2020-06-11,60-64,Man,0,111
2020-06-11,65-69,Man,0,217
2020-06-11,70-74,Man,0,381
2020-06-11,75-79,Man,0,656
2020-06-11,80-84,Man,0,735
2020-06-11,85-89,Man,0,706
2020-06-11,90-94,Man,0,318
2020-06-11,95+,Man,0,75
