report_date,date,province,value
2020-04-03,2020-02-27,Drenthe,0
2020-04-03,2020-02-28,Drenthe,0
2020-04-03,2020-02-29,Drenthe,2
2020-04-03,2020-03-01,Drenthe,0
2020-04-03,2020-03-02,Drenthe,1
2020-04-03,2020-03-03,Drenthe,0
2020-04-03,2020-03-04,Drenthe,2
2020-04-03,2020-03-05,Drenthe,1
2020-04-03,2020-03-06,Drenthe,2
2020-04-03,2020-03-07,Drenthe,0
2020-04-03,2020-03-08,Drenthe,2
2020-04-03,2020-03-09,Drenthe,2
2020-04-03,2020-03-10,Drenthe,0
2020-04-03,2020-03-11,Drenthe,2
2020-04-03,2020-03-12,Drenthe,0
2020-04-03,2020-03-13,Drenthe,2
2020-04-03,2020-03-14,Drenthe,0
2020-04-03,2020-03-15,Drenthe,2
2020-04-03,2020-03-16,Drenthe,1
2020-04-03,2020-03-17,Drenthe,5
2020-04-03,2020-03-18,Drenthe,4
2020-04-03,2020-03-19,Drenthe,6
2020-04-03,2020-03-20,Drenthe,9
2020-04-03,2020-03-21,Drenthe,4
2020-04-03,2020-03-22,Drenthe,5
2020-04-03,2020-03-23,Drenthe,5
2020-04-03,2020-03-24,Drenthe,4
2020-04-03,2020-03-25,Drenthe,13
2020-04-03,2020-03-26,Drenthe,10
2020-04-03,2020-03-27,Drenthe,14
2020-04-03,2020-03-28,Drenthe,17
2020-04-03,2020-03-29,Drenthe,6
2020-04-03,2020-03-30,Drenthe,5
2020-04-03,2020-03-31,Drenthe,19
2020-04-03,2020-04-01,Drenthe,14
2020-04-03,2020-04-02,Drenthe,12
2020-04-03,2020-04-03,Drenthe,0
2020-04-03,2020-02-27,Groningen,0
2020-04-03,2020-02-28,Groningen,0
2020-04-03,2020-02-29,Groningen,0
2020-04-03,2020-03-01,Groningen,0
2020-04-03,2020-03-02,Groningen,0
2020-04-03,2020-03-03,Groningen,0
2020-04-03,2020-03-04,Groningen,0
2020-04-03,2020-03-05,Groningen,0
2020-04-03,2020-03-06,Groningen,0
2020-04-03,2020-03-07,Groningen,0
2020-04-03,2020-03-08,Groningen,0
2020-04-03,2020-03-09,Groningen,0
2020-04-03,2020-03-10,Groningen,0
2020-04-03,2020-03-11,Groningen,3
2020-04-03,2020-03-12,Groningen,1
2020-04-03,2020-03-13,Groningen,1
2020-04-03,2020-03-14,Groningen,6
2020-04-03,2020-03-15,Groningen,1
2020-04-03,2020-03-16,Groningen,0
2020-04-03,2020-03-17,Groningen,4
